code,duration_m,event,years_to_touch,touch_year,fast,earn_dom,earn_mult,pe_mult,pe0
600990,200.39421813403416,0,4.23,2009,0,0.0,1.700514138817481,4.473960590699807,23.20051413881748
600997,39.55321944809461,1,2.13,2007,1,0.0,1.3414634146341464,5.155695187165775,8.292682926829269
601012,36.300919842312744,1,4.88,2020,0,1.0,7.32258064516129,0.7653594274815602,33.67741935483871
600086,147.79894875164257,1,1.41,2007,1,0.0,1.945,4.623354366284958,66.0
600122,101.21550591327201,1,2.28,2008,1,1.0,9.629787234042553,0.7649706764368974,87.65957446808511
600311,74.83574244415243,1,3.01,2009,0,,,,
600432,96.28777923784493,1,1.85,2007,1,1.0,4.352941176470589,1.5514088556641743,11.058823529411766
600627,0.45992115637319314,1,2.07,2007,1,0.0,1.0240963855421688,9.942041920216363,10.481927710843372
600811,99.21156373193166,1,1.7,2007,1,0.0,1.1153846153846152,4.718946978123841,28.615384615384617
600823,160.28252299605782,1,1.69,2007,1,0.0,0.6334841628959277,10.345983379501384,16.334841628959275
600836,96.02496714848883,1,3.74,2009,0,0.0,0.2777777777777778,11.026369168356998,27.38888888888889
600837,159.8226018396846,1,1.5,2007,1,1.0,3.008950676061702,2.007693562802685,11.597790896972004
601299,0.6241787122207622,0,3.36,2015,0,,,,
